case_id,dimension,condition_number,delta_contract,rho_contract,cheap_cost_exact_units,initial_residual,candidate_residual,candidate_contract_satisfied,baseline_lower_calls,baseline_upper_calls,post_upper_calls,gate_accept,guaranteed_saved_calls,guaranteed_cost_slack,baseline_actual_calls,post_actual_calls,gated_actual_calls,gated_total_cost,gated_cost_ratio,always_total_cost,always_cost_ratio,posthoc_descent_accept,posthoc_total_cost,posthoc_cost_ratio
58,64,1.7242633186912613,0.08241352449010325,0.08981553966813492,2.0,1.0,0.04363919578088874,True,21,42,35,False,-14,-16.0,37,28,37,37,1.0,30.0,0.8108108108108109,True,30.0,0.8108108108108109
59,64,2.444038773208273,0.013288829230217169,0.013467800531588069,4.0,0.9999999999999999,0.007498645214653228,True,21,62,43,False,-22,-26.0,55,34,55,55,1.0,38.0,0.6909090909090909,True,38.0,0.6909090909090909
60,64,2.2916921687364744,0.23340706161833286,0.3044732737964844,4.0,0.9999999999999999,0.1811862464589535,True,21,58,53,False,-32,-36.0,50,40,50,50,1.0,44.0,0.88,True,44.0,0.88
61,64,1.862036650925602,0.12521058146131978,0.1431322542406626,0.25,1.0,0.08163560966581092,True,21,46,39,False,-18,-18.25,41,32,41,41,1.0,32.25,0.7865853658536586,True,32.25,0.7865853658536586
62,64,1.279129579315406,0.001259714975230263,0.0012613038585892436,0.5,1.0,0.0008397029538390977,True,21,29,15,True,6,5.5,27,13,13,13.5,0.5,13.5,0.5,True,13.5,0.5
63,64,2.1653477202942124,0.05904871060870704,0.06275426929581658,0.25,0.9999999999999999,0.03629449423419736,True,21,54,44,False,-23,-23.25,47,35,47,47,1.0,35.25,0.75,True,35.25,0.75
64,64,1.7467340779597458,0.029564829546126818,0.030465537983644316,1.0,0.9999999999999999,0.014463396266039912,True,21,42,32,False,-11,-12.0,39,26,39,39,1.0,27.0,0.6923076923076923,True,27.0,0.6923076923076923
65,64,1.3349856357805694,0.001336117710861374,0.0013379053098413086,1.0,1.0,0.0008121422934831784,True,21,31,16,True,5,4.0,28,14,14,15.0,0.5357142857142857,15.0,0.5357142857142857,True,15.0,0.5357142857142857
66,64,2.00086051682536,0.5469163033532679,1.2070977335997521,4.0,0.9999999999999999,0.44592174616803726,True,21,50,50,False,-29,-33.0,45,42,45,45,1.0,46.0,1.0222222222222221,True,46.0,1.0222222222222221
67,64,1.9580739142312826,0.025722569478836523,0.026401688752121587,2.0,1.0,0.015465703068419918,True,21,48,36,False,-15,-17.0,41,27,41,41,1.0,29.0,0.7073170731707317,True,29.0,0.7073170731707317
68,64,1.269203546762644,0.1476510834225957,0.1732284520469465,1.0,1.0,0.08818228169580274,True,21,29,25,False,-4,-5.0,27,22,27,27,1.0,23.0,0.8518518518518519,True,23.0,0.8518518518518519
69,64,1.8094357649307602,0.0011052355962800154,0.0011064584935929407,1.0,1.0,0.0005983048225349947,True,21,44,23,False,-2,-3.0,39,16,39,39,1.0,17.0,0.4358974358974359,True,17.0,0.4358974358974359
70,64,1.1935885945965132,0.08246857037719243,0.08988092147545816,0.5,1.0000000000000002,0.0564675465358044,True,21,27,22,False,-1,-1.5,25,19,25,25,1.0,19.5,0.78,True,19.5,0.78
71,64,1.1979231037256208,0.0022655546568982428,0.0022706990497047158,2.0,0.9999999999999998,0.00134032781206575,True,21,27,15,True,6,4.0,25,13,13,15.0,0.6,15.0,0.6,True,15.0,0.6
72,64,2.4668342723053076,0.23185692106931327,0.301840799492818,1.0,1.0,0.13470413810101514,True,21,63,57,False,-36,-37.0,56,45,56,56,1.0,46.0,0.8214285714285714,True,46.0,0.8214285714285714
73,64,1.8570584640604826,0.12653588137515445,0.14486671939583343,0.25,1.0,0.07660892149464871,True,21,46,39,False,-18,-18.25,39,32,39,39,1.0,32.25,0.8269230769230769,True,32.25,0.8269230769230769
74,64,2.041867883186753,0.09657025154230522,0.10689292853945395,0.25,1.0,0.05834971422348058,True,21,51,43,False,-22,-22.25,46,35,46,46,1.0,35.25,0.7663043478260869,True,35.25,0.7663043478260869
75,64,2.9397118142036467,0.37621374505567656,0.6031132332168105,0.5,1.0,0.21850781759733418,True,21,76,73,False,-52,-52.5,64,56,64,64,1.0,56.5,0.8828125,True,56.5,0.8828125
76,64,1.3916494981125211,0.0018665061857800673,0.0018699965459003777,1.0,0.9999999999999998,0.001021968655678287,True,21,32,18,True,3,2.0,29,14,14,15.0,0.5172413793103449,15.0,0.5172413793103449,True,15.0,0.5172413793103449
